codigo;nome;preco;imagem;link
"30007";"CINTA COM CATRACA AMARRAR CARGA 4 PCS";"R$ 39,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_322001-580x435.PNG?version=2025082716300404122024082524";"https://camargoebarros.futurasistemas.com.br/2319-CINTA-COM-CATRACA-AMARRAR-CARGA-4-PCS-30007"
"BOM-7435";"CINTA PARA REBOQUE 3 TONELADAS 5 CM X 3.6 MTS";"R$ 39,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_464101-580x435.PNG?version=2025082818510304122024082524";"https://camargoebarros.futurasistemas.com.br/3253-CINTA-PARA-REBOQUE-3-TONELADAS-5-CM-X-3-6-MTS-BOM-7435"
"61010";"COLHER DE PEDREIRO 7" NAVY";"R$ 7,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_388201-580x435.PNG?version=2025111215591804122024082524";"https://camargoebarros.futurasistemas.com.br/2720-COLHER-DE-PEDREIRO-7-NAVY-61010"
"AR0210";"COLHER DE PEDREIRO 7" STARTOOLS";"R$ 8,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_370401-580x435.PNG?version=2025071618260204122024082524";"https://camargoebarros.futurasistemas.com.br/2598-COLHER-DE-PEDREIRO-7-STARTOOLS-AR0210"
"61011";"COLHER DE PEDREIRO 9" NAVY";"R$ 8,50";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_388301-580x435.PNG?version=2025111216012504122024082524";"https://camargoebarros.futurasistemas.com.br/2305-COLHER-DE-PEDREIRO-9-NAVY-61011"
"SR1202";"COLHER DE PEDREIRO CANTO VIVO 10" STARTOOLS";"R$ 9,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_560501-580x435.JPG?version=2026040818395604122024082524";"https://camargoebarros.futurasistemas.com.br/3931-COLHER-DE-PEDREIRO-CANTO-VIVO-10-STARTOOLS-SR1202"
"BOM-8905";"COMPRESSOR BOMBA DE AR PORTATIL RECARREGAVEL";"R$ 99,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_397001-580x435.PNG?version=2026040914540304122024082524";"https://camargoebarros.futurasistemas.com.br/2790-COMPRESSOR-BOMBA-DE-AR-PORTATIL-RECARREGAVEL-BOM-8905"
"BOM-8902";"COMPRESSOR DE AR PORTATIL 12V 150 PSI";"R$ 86,90";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_380901-580x435.PNG?version=2025091512103204122024082524";"https://camargoebarros.futurasistemas.com.br/2663-COMPRESSOR-DE-AR-PORTATIL-12V-150-PSI-BOM-8902"
"BOM-8909";"COMPRESSOR PORTATIL E AUXILIAR DE PARTIDA VEICULAR";"R$ 248,00";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_464301-580x435.PNG?version=2026010516244304122024082524";"https://camargoebarros.futurasistemas.com.br/3255-COMPRESSOR-PORTATIL-E-AUXILIAR-DE-PARTIDA-VEICULAR-BOM-8909"
"BOM-7622";"CONECTOR COM BUCHA 3/4 PARA 1/2 ENGATE RAPIDO";"R$ 2,30";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_563801-580x435.JPG?version=2026041518122804122024082524";"https://camargoebarros.futurasistemas.com.br/3950-CONECTOR-COM-BUCHA-3-4-PARA-1-2-ENGATE-RAPIDO-BOM-7622"
"BOM-7620";"CONECTOR ENGATE RAPIDO PARA MANGUEIRA";"R$ 2,30";"https://camargoebarros.futurasistemas.com.br/image/cache/watermark/data/eftr/Img_ftr_rp_563901-580x435.JPG?version=2026041518124804122024082524";"https://camargoebarros.futurasistemas.com.br/3951-CONECTOR-ENGATE-RAPIDO-PARA-MANGUEIRA-BOM-7620"
